AUM,EXPENSE_RATIO,FUND,ISSUER,RETURN_10YR,RETURN_1YR,RETURN_3YR,RETURN_5YR,SEGMENT,TICKER
3860287722.2,40.0,SPDR Bloomberg Barclays Short Term High Yield Bond ETF,['State Street Global Advisors'],,0.199781,0.022367,,Fixed Income: U.S.  - Corporate High Yield Short-Term,SJNK
3784116301.2,4.0,Schwab U.S. Large-Cap Growth ETF,['Charles Schwab'],,0.249586,0.107341,0.139328,Equity: U.S.  -  Large Cap Growth,SCHG
3469035640.0,15.0,iShares Edge MSCI USA Quality Factor ETF,['BlackRock'],,0.208731,0.110302,,Equity: U.S.  -  Total Market,QUAL
3417859140.0,4.0,Schwab US Aggregate Bond ETF,['Charles Schwab'],,0.011287,0.026465,0.020805,Fixed Income: U.S.  - Broad Market Investment Grade ,SCHZ
3360670600.0,40.0,SPDR Bloomberg Barclays Convertible Securities ETF,['State Street Global Advisors'],,0.235743,0.056534,0.095897,Fixed Income: U.S.  -   Convertibles,CWB
3253030392.6,70.0,First Trust Value Line Dividend Index Fund,['First Trust'],0.08294,0.235502,0.136344,0.146219,Equity: U.S.  -  High Dividend Yield,FVD
3202023350.4,6.0,Schwab U.S. Mid-Cap ETF,['Charles Schwab'],,0.30275,0.090561,0.136492,Equity: U.S.  -  Mid Cap,SCHM
3183243521.9,4.0,Schwab U.S. Large-Cap Value ETF,['Charles Schwab'],,0.273075,0.105773,0.136207,Equity: U.S.  -  Large Cap Value,SCHV
3057707100.0,30.0,PowerShares S&P 500 High Dividend Low Volatility Portfolio,['Invesco PowerShares'],,0.25344,0.170018,,Equity: U.S.  -  Large Cap,SPHD
2964134565.6,12.0,SPDR Bloomberg Barclays Short Term Corporate Bond ETF,['State Street Global Advisors'],,0.023057,0.012678,0.015228,Fixed Income: U.S.  -  Corporate Investment Grade Short-Term,SCPB
2901780000.0,35.0,ProShares S&P 500 Dividend Aristocrats ETF,['ProShares'],,0.176866,0.112956,,Equity: U.S.  -  Large Cap,NOBL
2773983325.0,38.0,WisdomTree MidCap Dividend Fund,['WisdomTree'],0.083457,0.293554,0.121397,0.153053,Equity: U.S.  -  Mid Cap,DON
2563279022.25,7.0,Vanguard Mega Cap Growth Index Fund,['Vanguard'],,0.238595,0.106237,0.138545,Equity: U.S.  -  Large Cap Growth,MGK
